Número;Família;Gênero;sp;autor;Hábito;Origem;Substrato;Endemismo
57; ;;;;;;;
24;Acanthaceae;Justicia;chrysotrichoma; (Nees) Benth.;Erva, Subarbusto;Nativa;Terrícola;sim
138;Alstroemeriaceae;Altroemeria;stenopetala;Schenk;Erva;Nativa;Terrícola;sim
21;Amaranthaceae;Pfaffia;denudata; (Moq.) Kuntze;Arbusto, Erva, Subarbusto;Nativa;Terrícola;sim
169;Amaranthaceae;Pfaffia;denudata;(Moq.) Kuntze;Arbusto, Erva, Subarbusto;Nativa;Terrícola;sim
142;Anacardiaceae;Tapirira;guianensis;Aubl.;Árvore;Nativa;Terrícola;não
125;Anemiaceae;Anemia;presliana;Prantl;;Nativa;;não
42;Annonaceae;Annona;tomentosa;R.E.Fr.;Arbusto, Subarbusto;Nativa;Terrícola;não
168;Apiaceae;Hydrocotyle ;quinqueloba; Ruiz & Pav.;Erva;;Terrícola;
67;Araliaceae;Didymopanax;macrocarpus;(Cham. & Schltdl.) Seem.;Arbusto,Árvore;Nativa;Terrícola;sim
129;Araliaceae;Didymopanax;morototoni ;(Aubl.) Decne. & Planch.;Árvore;Nativa;Terrícola;não
17;Arecaceae;Syagrus;flexuosa;(Mart.) Becc.;Palmeira;Nativa;Terrícola;sim
13;Asteraceae;Baccharis;dracunculifolia;DC.;Arbusto;Nativa;Rupícola,Terrícola;não
15;Asteraceae;Lessingianthus;elegans;(Gardner) H.Rob.;Arbusto;Nativa;Terrícola;sim
28;Asteraceae;Wedelia;regis;H.Rob.;Subarbusto;Nativa;Terrícola;sim
30;Asteraceae;Ichthyothere;latifolia; (Benth.) Gardner;Subarbusto;Nativa;Terrícola;sim
35;Asteraceae;Lessingianthus;amophilus; (Gardner) H.Rob.;Arbusto;Nativa;Terrícola;sim
46;Asteraceae;Chromolaena;pungens;(Gardner) R.M.King & H.Rob.;Arbusto;Nativa;Terrícola;desconhecido
51;Asteraceae;Mikania;purpurascens; (Baker) R.M.King & H.Rob.;Subarbusto;Nativa;Terrícola;sim
56;Asteraceae;Eremanthus;mollis;Sch.Bip.;Arbusto;Nativa;Terrícola;sim
68;Asteraceae;Baccharis;dracunculifolia;DC.;Arbusto;Nativa;Rupícola,Terrícola;não
78;Asteraceae;Vernonanthura;membranaceae;(Gardner) H.Rob.;Arbusto;Nativa;Terrícola;não
96;Asteraceae;Banisteriopsis;gardneriana;(A.Juss.) W.R.Anderson & B.Gates;Liana/volúvel/trepadeira;Nativa;Terrícola;sim
101;Asteraceae;;;;;;;
105;Asteraceae;Mikania;microcephala; DC.;Liana/volúvel/trepadeira;Nativa;Terrícola;sim
107;Asteraceae;Baccharis;retusa;DC.;Arbusto;Nativa;Rupícola,Terrícola;sim
114;Asteraceae;Youngia;japonica;(L.) DC.;Erva, Subarbusto;Naturalizada;Terrícola;não
115;Asteraceae;Gamochaeta;americana;(Mill.) Wedd.;Erva;Nativa;Terrícola;não
130;Asteraceae;Lessingianthus;elegans;(Gardner) H.Rob.;Arbusto;Nativa;Terrícola;sim
131;Asteraceae;Ichthyothere;linearis;Baker;Erva;Nativa;Terrícola;sim
135;Asteraceae;Lessingianthus;ligulifolius;(Mart. ex DC.) H.Rob.;Subarbusto;Nativa;Terrícola;não
137;Asteraceae;Baccharis;dracunculifolia;DC.;Arbusto;Nativa;Rupícola,Terrícola;não
139;Asteraceae;Lessingianthus;ligulifolius;(Mart. ex DC.) H.Rob.;Subarbusto;Nativa;Terrícola;não
162;Asteraceae;Chromolaena;laevigata;(Lam.) R.M.King & H.Rob.;Arbusto, Subarbusto;Nativa;Terrícola;não
2;Bignoniaceae;Amphilophium;elongatum; (Vahl) L.G.Lohmann;Liana/volúvel/trepadeira;Nativa;Terrícola;não
92;Bignoniaceae;Jacaranda;caroba;(Vell.) DC.;Arbusto;Nativa;Terrícola;sim
156;Bignoniaceae;Jacaranda;mimosifolia; D. Don;Árvore;Exótica;;Não ocorre no Brasil
176;Blechnaceae;Blechnum;polypodioides;Raddi;Erva;Nativa;Terrícola;não
178;Blechnaceae;Blechnum;occidentale;L.;Erva;Nativa;Rupícola, Terrícola;não
12;Clusiaceae;Kielmeyra;coriaceae;Mart. & Zucc.;Arbusto, Árvore, Subarbusto;Nativa;Terrícola;não
164;Commelinaceae;Commelina;erecta;L.;Erva;Nativa;Rupícola, Terrícola;não
106;Cyperaceae;Cyperus;alternifolius;L.;Erva;Naturalizada;Aquática, Terrícola;não
172;Cyperaceae;Cyperus;giganteus;Vahl;Erva;Nativa;Aquática, Terrícola;não
184;Cyperaceae;Rhynchospora;consanguinea;(Kunth) Boeckeler;Erva;Nativa;Terrícola;não
9;Dilleniaceae;Davilla ;elliptica;A.St.-Hil.;Arbusto;Nativa;Terrícola;não
122;Dioscoreaceae;Dioscorea;dodecaneura;Vell.;Liana/volúvel/trepadeira;Nativa;Terrícola;não
